Avg_Net_Price_Q,comp_rate_150,median_earnings_y6
Q2,0.2866,28704
Q2,0.6117,39271
Q2,0.5714,47533
Q2,0.3177,25949
Q3,0.7214,44485
Q1,0.304,33326
Q3,0.787,49695
Q2,0.7094,42523
Q3,0.2711,32902
Q4,0.2222,30259
Q3,0.4185,37025
Q2,0.4551,34081
Q2,0.4011,34478
Q3,0.489,33075
Q2,0.5415,32169
Q1,0.4995,35791
Q4,0.5,28749
Q4,0.772,45778
Q2,0.4491,36829
Q3,0.5691,37808
Q2,0.2151,27831
Q1,0.5017,32760
Q4,0.5189,35093
Q1,0.3012,37355
Q1,0.387,35456
Q1,0.1753,35319
Q3,0.5556,33401
Q1,0.6601,46621
Q1,0.6489,43784
Q4,0.5916,62242
Q3,0.4657,34441
Q1,0.5687,41369
Q3,0.4878,28834
Q4,0.4379,35500
Q2,0.4169,35410
Q3,0.4252,30527
Q2,0.685,43807
Q1,0.3892,26331
Q1,0.5301,32687
Q1,0.4422,32177
Q2,0.4573,34259
Q2,0.3846,33652
Q2,0.7152,39240
Q1,0.3411,32627
Q2,0.655,38321
Q3,0.6447,41915
Q3,0.6048,38561
Q1,0.4737,32401
Q2,0.378,32457
Q2,0.4261,32077
Q4,0.6622,49365
Q4,0.714,42464
Q4,0.6195,46036
Q4,0.6703,38110
Q4,0.9156,129420
Q4,0.7086,49746
Q3,0.8309,66662
Q1,0.4629,40335
Q1,0.5726,44551
Q1,0.5874,42079
Q1,0.674,51735
Q2,0.6515,47409
Q1,0.4751,43481
Q1,0.5754,42306
Q1,0.6868,45657
Q1,0.4675,52563
Q1,0.7333,46059
Q1,0.524,42517
Q1,0.5462,42178
Q1,0.5358,47905
Q2,0.9234,65914
Q2,0.8625,54621
Q1,0.8498,52679
Q1,0.9129,55427
Q1,0.7729,45632
Q2,0.8712,56844
Q2,0.8398,51496
Q2,0.7555,45632
Q3,0.6068,80273
Q3,0.0,65724
Q4,0.5909,47319
Q4,0.55,34669
Q3,0.9228,80781
Q4,0.4571,39458
Q4,0.3333,42824
Q4,0.7433,63540
Q4,0.725,39776
Q2,0.6736,42603
Q4,0.9271,112059
Q3,0.3864,56544
Q1,0.4949,34180
Q3,0.4896,32294
Q4,0.6607,48057
Q4,0.6716,34650
Q3,0.5246,40563
Q4,0.6392,42489
Q4,0.5355,54374
Q3,0.6524,47240
Q4,0.5896,57246
Q4,0.5,27547
Q3,0.4667,53072
Q4,0.4,56799
Q4,0.8364,47008
Q3,0.4881,36584
Q3,0.5124,48131
Q4,0.701,58630
Q4,0.8855,61345
Q4,0.8321,44529
Q4,0.7206,48004
Q2,0.9399,44630
Q4,0.7122,53517
Q1,0.7596,48314
Q4,0.8048,59002
Q4,0.3924,32369
Q1,0.5521,50184
Q4,0.715,64896
Q3,0.5258,41862
Q2,0.6558,57540
Q4,0.8785,52863
Q3,0.425,40989
Q4,0.7334,57421
Q2,0.6009,48978
Q3,0.6262,40449
Q4,0.9167,65748
Q4,0.8427,36574
Q4,0.72,45657
